0, Num of Connected: 1,    connected node id:  1,  
1, Num of Connected: 2,    connected node id:  0,  3,  
2, Num of Connected: 0,    connected node id:  
3, Num of Connected: 2,    connected node id:  1,  5,  
4, Num of Connected: 0,    connected node id:  
5, Num of Connected: 2,    connected node id:  6,  3,  
6, Num of Connected: 2,    connected node id:  5,  7,  
7, Num of Connected: 2,    connected node id:  8,  6,  
8, Num of Connected: 2,    connected node id:  9,  7,  
9, Num of Connected: 2,    connected node id:  10,  8,  
10, Num of Connected: 2,    connected node id:  11,  9,  
11, Num of Connected: 2,    connected node id:  10,  12,  
12, Num of Connected: 2,    connected node id:  13,  11,  
13, Num of Connected: 2,    connected node id:  14,  12,  
14, Num of Connected: 3,    connected node id:  13,  23,  22,  
15, Num of Connected: 2,    connected node id:  22,  16,  
16, Num of Connected: 2,    connected node id:  17,  15,  
17, Num of Connected: 2,    connected node id:  18,  16,  
18, Num of Connected: 2,    connected node id:  27,  17,  
19, Num of Connected: 1,    connected node id:  20,  
20, Num of Connected: 2,    connected node id:  19,  21,  
21, Num of Connected: 1,    connected node id:  20,  
22, Num of Connected: 2,    connected node id:  14,  15,  
23, Num of Connected: 2,    connected node id:  14,  24,  
24, Num of Connected: 1,    connected node id:  23,  
25, Num of Connected: 1,    connected node id:  26,  
26, Num of Connected: 2,    connected node id:  33,  25,  
27, Num of Connected: 2,    connected node id:  28,  18,  
28, Num of Connected: 2,    connected node id:  27,  29,  
29, Num of Connected: 2,    connected node id:  30,  28,  
30, Num of Connected: 2,    connected node id:  29,  31,  
31, Num of Connected: 2,    connected node id:  32,  30,  
32, Num of Connected: 2,    connected node id:  44,  31,  
33, Num of Connected: 2,    connected node id:  34,  26,  
34, Num of Connected: 3,    connected node id:  33,  35,  37,  
35, Num of Connected: 2,    connected node id:  34,  39,  
36, Num of Connected: 0,    connected node id:  
37, Num of Connected: 2,    connected node id:  38,  34,  
38, Num of Connected: 3,    connected node id:  40,  39,  37,  
39, Num of Connected: 2,    connected node id:  35,  38,  
40, Num of Connected: 2,    connected node id:  41,  38,  
41, Num of Connected: 2,    connected node id:  40,  43,  
42, Num of Connected: 0,    connected node id:  
43, Num of Connected: 1,    connected node id:  41,  
44, Num of Connected: 2,    connected node id:  45,  32,  
45, Num of Connected: 2,    connected node id:  44,  47,  
46, Num of Connected: 0,    connected node id:  
47, Num of Connected: 2,    connected node id:  45,  48,  
48, Num of Connected: 2,    connected node id:  47,  49,  
49, Num of Connected: 2,    connected node id:  48,  61,  
50, Num of Connected: 2,    connected node id:  51,  61,  
51, Num of Connected: 2,    connected node id:  50,  52,  
52, Num of Connected: 2,    connected node id:  51,  63,  
53, Num of Connected: 0,    connected node id:  
54, Num of Connected: 0,    connected node id:  
55, Num of Connected: 1,    connected node id:  56,  
56, Num of Connected: 2,    connected node id:  57,  55,  
57, Num of Connected: 2,    connected node id:  59,  56,  
58, Num of Connected: 0,    connected node id:  
59, Num of Connected: 2,    connected node id:  70,  57,  
60, Num of Connected: 0,    connected node id:  
61, Num of Connected: 3,    connected node id:  50,  62,  49,  
62, Num of Connected: 3,    connected node id:  61,  64,  66,  
63, Num of Connected: 2,    connected node id:  67,  52,  
64, Num of Connected: 2,    connected node id:  62,  65,  
65, Num of Connected: 2,    connected node id:  69,  64,  
